date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:36:00	154124/154124	---M--	200	added ('OK')	image/jpeg	etag:%225bc329bd-2a88f%22	https://colorlib.com/preview/theme/primelaw/images/bg_1.jpg	C:/My%20Web%20Sites/prime%20law/colorlib.com/preview/theme/primelaw/images/bg_1.jpg	(from https://colorlib.com/preview/theme/primelaw/)
10:36:01	71277/71277	---M--	200	added ('OK')	image/jpeg	etag:%225bc329b1-13615%22	https://colorlib.com/preview/theme/primelaw/images/about.jpg	C:/My%20Web%20Sites/prime%20law/colorlib.com/preview/theme/primelaw/images/about.jpg	(from https://colorlib.com/preview/theme/primelaw/)
10:36:03	31682/31682	---M--	200	added ('OK')	image/jpeg	etag:%225bc329de-8cfa%22	https://colorlib.com/preview/theme/primelaw/images/person_1.jpg	C:/My%20Web%20Sites/prime%20law/colorlib.com/preview/theme/primelaw/images/person_1.jpg	(from https://colorlib.com/preview/theme/primelaw/)
10:36:04	42386/42386	---M--	200	added ('OK')	image/jpeg	etag:%225bc329df-bb43%22	https://colorlib.com/preview/theme/primelaw/images/person_2.jpg	C:/My%20Web%20Sites/prime%20law/colorlib.com/preview/theme/primelaw/images/person_2.jpg	(from https://colorlib.com/preview/theme/primelaw/)
10:36:04	117884/117884	---M--	200	added ('OK')	image/jpeg	etag:%225bc329bc-1fd22%22	https://colorlib.com/preview/theme/primelaw/images/about-2.jpg	C:/My%20Web%20Sites/prime%20law/colorlib.com/preview/theme/primelaw/images/about-2.jpg	(from https://colorlib.com/preview/theme/primelaw/)
10:36:05	31412/31412	---M--	200	added ('OK')	image/jpeg	etag:%225bc329e1-8918%22	https://colorlib.com/preview/theme/primelaw/images/person_3.jpg	C:/My%20Web%20Sites/prime%20law/colorlib.com/preview/theme/primelaw/images/person_3.jpg	(from https://colorlib.com/preview/theme/primelaw/)
10:36:05	22796/22796	---M--	200	added ('OK')	image/jpeg	etag:%225bc329e2-6306%22	https://colorlib.com/preview/theme/primelaw/images/person_4.jpg	C:/My%20Web%20Sites/prime%20law/colorlib.com/preview/theme/primelaw/images/person_4.jpg	(from https://colorlib.com/preview/theme/primelaw/)
10:36:05	250262/250262	---M--	200	added ('OK')	image/jpeg	etag:%225bc329c8-45bd2%22	https://colorlib.com/preview/theme/primelaw/images/bg_3.jpg	C:/My%20Web%20Sites/prime%20law/colorlib.com/preview/theme/primelaw/images/bg_3.jpg	(from https://colorlib.com/preview/theme/primelaw/)
10:36:06	376233/376233	---M--	200	added ('OK')	image/jpeg	etag:%225bc329cb-648d2%22	https://colorlib.com/preview/theme/primelaw/images/bg_2.jpg	C:/My%20Web%20Sites/prime%20law/colorlib.com/preview/theme/primelaw/images/bg_2.jpg	(from https://colorlib.com/preview/theme/primelaw/)
10:36:06	20655/20655	---MCZ	200	added ('OK')	text/html	date:Sun,%2014%20Oct%202018%2011:33:13%20GMT	https://colorlib.com/preview/theme/primelaw/blog-single.html	C:/My%20Web%20Sites/prime%20law/colorlib.com/preview/theme/primelaw/blog-single.html	(from https://colorlib.com/preview/theme/primelaw/)
10:36:07	1239/1239	---MCZ	200	added ('OK')	application/javascript	etag:W/%225dd3d42a-4d7%22	https://colorlib.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	C:/My%20Web%20Sites/prime%20law/colorlib.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	(from https://colorlib.com/preview/theme/primelaw/)
10:36:08	58734/58734	---M--	200	added ('OK')	image/jpeg	etag:%225bc329cd-fc49%22	https://colorlib.com/preview/theme/primelaw/images/image_1.jpg	C:/My%20Web%20Sites/prime%20law/colorlib.com/preview/theme/primelaw/images/image_1.jpg	(from https://colorlib.com/preview/theme/primelaw/)
10:36:08	53217/53217	---M--	200	added ('OK')	image/jpeg	etag:%225bc329d2-f1f3%22	https://colorlib.com/preview/theme/primelaw/images/image_2.jpg	C:/My%20Web%20Sites/prime%20law/colorlib.com/preview/theme/primelaw/images/image_2.jpg	(from https://colorlib.com/preview/theme/primelaw/)
10:36:08	11421/11421	---MCZ	200	added ('OK')	application/javascript	etag:W/%225bc32a0e-2c9d%22	https://colorlib.com/preview/theme/primelaw/js/jquery-migrate-3.0.1.min.js	C:/My%20Web%20Sites/prime%20law/colorlib.com/preview/theme/primelaw/js/jquery-migrate-3.0.1.min.js	(from https://colorlib.com/preview/theme/primelaw/)
10:36:08	19032/19032	---MCZ	200	added ('OK')	application/javascript	etag:W/%225bc32a1c-4a58%22	https://colorlib.com/preview/theme/primelaw/js/popper.min.js	C:/My%20Web%20Sites/prime%20law/colorlib.com/preview/theme/primelaw/js/popper.min.js	(from https://colorlib.com/preview/theme/primelaw/)
10:36:08	50676/50676	---MCZ	200	added ('OK')	application/javascript	etag:W/%225bc32a0a-c5f4%22	https://colorlib.com/preview/theme/primelaw/js/bootstrap.min.js	C:/My%20Web%20Sites/prime%20law/colorlib.com/preview/theme/primelaw/js/bootstrap.min.js	(from https://colorlib.com/preview/theme/primelaw/)
10:36:09	3601/3601	---MCZ	200	added ('OK')	application/javascript	etag:W/%225bc32a10-1faf%22	https://colorlib.com/preview/theme/primelaw/js/jquery.easing.1.3.js	C:/My%20Web%20Sites/prime%20law/colorlib.com/preview/theme/primelaw/js/jquery.easing.1.3.js	(from https://colorlib.com/preview/theme/primelaw/)
10:36:09	86946/86946	---M--	200	added ('OK')	image/jpeg	etag:%225bc329d0-17d7a%22	https://colorlib.com/preview/theme/primelaw/images/image_3.jpg	C:/My%20Web%20Sites/prime%20law/colorlib.com/preview/theme/primelaw/images/image_3.jpg	(from https://colorlib.com/preview/theme/primelaw/)
10:36:09	8835/8835	---MCZ	200	added ('OK')	application/javascript	etag:W/%225bc32a16-2283%22	https://colorlib.com/preview/theme/primelaw/js/jquery.waypoints.min.js	C:/My%20Web%20Sites/prime%20law/colorlib.com/preview/theme/primelaw/js/jquery.waypoints.min.js	(from https://colorlib.com/preview/theme/primelaw/)
10:36:09	12597/12597	---MCZ	200	added ('OK')	application/javascript	etag:W/%225bc32a14-3135%22	https://colorlib.com/preview/theme/primelaw/js/jquery.stellar.min.js	C:/My%20Web%20Sites/prime%20law/colorlib.com/preview/theme/primelaw/js/jquery.stellar.min.js	(from https://colorlib.com/preview/theme/primelaw/)
10:36:09	268038/268038	---MCZ	200	added ('OK')	application/javascript	etag:W/%225bc32a19-41706%22	https://colorlib.com/preview/theme/primelaw/js/jquery.min.js	C:/My%20Web%20Sites/prime%20law/colorlib.com/preview/theme/primelaw/js/jquery.min.js	(from https://colorlib.com/preview/theme/primelaw/)
10:36:09	43237/43237	---MCZ	200	added ('OK')	application/javascript	etag:W/%225bc32a1b-a8e5%22	https://colorlib.com/preview/theme/primelaw/js/owl.carousel.min.js	C:/My%20Web%20Sites/prime%20law/colorlib.com/preview/theme/primelaw/js/owl.carousel.min.js	(from https://colorlib.com/preview/theme/primelaw/)
10:36:10	20216/20216	---MCZ	200	added ('OK')	application/javascript	etag:W/%225bc32a11-4ef8%22	https://colorlib.com/preview/theme/primelaw/js/jquery.magnific-popup.min.js	C:/My%20Web%20Sites/prime%20law/colorlib.com/preview/theme/primelaw/js/jquery.magnific-popup.min.js	(from https://colorlib.com/preview/theme/primelaw/)
10:36:10	14212/14212	---MCZ	200	added ('OK')	application/javascript	etag:W/%225bc32a07-37a4%22	https://colorlib.com/preview/theme/primelaw/js/aos.js	C:/My%20Web%20Sites/prime%20law/colorlib.com/preview/theme/primelaw/js/aos.js	(from https://colorlib.com/preview/theme/primelaw/)
10:36:10	1391/1391	---MCZ	200	added ('OK')	application/javascript	etag:W/%225bc32a0f-56f%22	https://colorlib.com/preview/theme/primelaw/js/jquery.animateNumber.min.js	C:/My%20Web%20Sites/prime%20law/colorlib.com/preview/theme/primelaw/js/jquery.animateNumber.min.js	(from https://colorlib.com/preview/theme/primelaw/)
10:36:10	33269/33269	---MCZ	200	added ('OK')	application/javascript	etag:W/%225bc32a08-b6e4%22	https://colorlib.com/preview/theme/primelaw/js/bootstrap-datepicker.js	C:/My%20Web%20Sites/prime%20law/colorlib.com/preview/theme/primelaw/js/bootstrap-datepicker.js	(from https://colorlib.com/preview/theme/primelaw/)
10:36:11	146/146	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2022%20Nov%202019%2009:36:09%20GMT	https://colorlib.com/preview/theme/primelaw/js/jquery.timepicker.min.js	C:/My%20Web%20Sites/prime%20law/colorlib.com/preview/theme/primelaw/js/jquery.timepicker.min.js	(from https://colorlib.com/preview/theme/primelaw/)
10:36:11	7447/7447	---MCZ	200	added ('OK')	application/javascript	etag:W/%225bc32a1d-1d17%22	https://colorlib.com/preview/theme/primelaw/js/scrollax.min.js	C:/My%20Web%20Sites/prime%20law/colorlib.com/preview/theme/primelaw/js/scrollax.min.js	(from https://colorlib.com/preview/theme/primelaw/)
10:36:11	788/788	---MCZ	200	added ('OK')	application/javascript	etag:W/%225bc32a09-79a%22	https://colorlib.com/preview/theme/primelaw/js/google-map.js	C:/My%20Web%20Sites/prime%20law/colorlib.com/preview/theme/primelaw/js/google-map.js	(from https://colorlib.com/preview/theme/primelaw/)
10:36:11	4473/4473	---MCZ	200	added ('OK')	application/javascript	etag:W/%225bc32a19-1937%22	https://colorlib.com/preview/theme/primelaw/js/main.js	C:/My%20Web%20Sites/prime%20law/colorlib.com/preview/theme/primelaw/js/main.js	(from https://colorlib.com/preview/theme/primelaw/)
10:36:12	12213/12213	---MCZ	200	added ('OK')	application/javascript	etag:W/%225dd3d42a-2fb5%22	https://ajax.cloudflare.com/cdn-cgi/scripts/95c75768/cloudflare-static/rocket-loader.min.js	C:/My%20Web%20Sites/prime%20law/ajax.cloudflare.com/cdn-cgi/scripts/95c75768/cloudflare-static/rocket-loader.min.js	(from https://colorlib.com/preview/theme/primelaw/)
10:36:13	28196/28196	---M--	200	added ('OK')	application/octet-stream	etag:%225bc32a68-6e24%22	https://colorlib.com/preview/theme/primelaw/fonts/open-iconic/open-iconic.eot	C:/My%20Web%20Sites/prime%20law/colorlib.com/preview/theme/primelaw/fonts/open-iconic/open-iconic.eot	(from https://colorlib.com/preview/theme/primelaw/css/open-iconic-bootstrap.min.css)
10:36:15	28196/28196	---M--	200	added ('OK')	application/octet-stream	etag:%225bc32a68-6e24%22	https://colorlib.com/preview/theme/primelaw/fonts/open-iconic/open-iconic.eot?	C:/My%20Web%20Sites/prime%20law/colorlib.com/preview/theme/primelaw/fonts/open-iconic/open-iconicd41d.eot	(from https://colorlib.com/preview/theme/primelaw/css/open-iconic-bootstrap.min.css)
10:36:15	14984/14984	---MCZ	200	added ('OK')	application/font-woff	etag:W/%225bc32a70-3a88%22	https://colorlib.com/preview/theme/primelaw/fonts/open-iconic/open-iconic.woff	C:/My%20Web%20Sites/prime%20law/colorlib.com/preview/theme/primelaw/fonts/open-iconic/open-iconic.woff	(from https://colorlib.com/preview/theme/primelaw/css/open-iconic-bootstrap.min.css)
10:36:15	28028/28028	---MCZ	200	added ('OK')	application/x-font-ttf	etag:W/%225bc32a6f-6d7c%22	https://colorlib.com/preview/theme/primelaw/fonts/open-iconic/open-iconic.ttf	C:/My%20Web%20Sites/prime%20law/colorlib.com/preview/theme/primelaw/fonts/open-iconic/open-iconic.ttf	(from https://colorlib.com/preview/theme/primelaw/css/open-iconic-bootstrap.min.css)
10:36:16	20996/20996	---MCZ	200	added ('OK')	font/opentype	etag:W/%225bc32a6d-5204%22	https://colorlib.com/preview/theme/primelaw/fonts/open-iconic/open-iconic.otf	C:/My%20Web%20Sites/prime%20law/colorlib.com/preview/theme/primelaw/fonts/open-iconic/open-iconic.otf	(from https://colorlib.com/preview/theme/primelaw/css/open-iconic-bootstrap.min.css)
10:36:17	54789/54789	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225bc32a6e-d605%22	https://colorlib.com/preview/theme/primelaw/fonts/open-iconic/open-iconic.svg	C:/My%20Web%20Sites/prime%20law/colorlib.com/preview/theme/primelaw/fonts/open-iconic/open-iconic.svg	(from https://colorlib.com/preview/theme/primelaw/css/open-iconic-bootstrap.min.css)
10:36:17	139/139	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2022%20Nov%202019%2009:36:16%20GMT	https://colorlib.com/preview/theme/primelaw/css/owl.video.play.png	C:/My%20Web%20Sites/prime%20law/colorlib.com/preview/theme/primelaw/css/owl.video.play.png	(from https://colorlib.com/preview/theme/primelaw/css/owl.carousel.min.css)
10:36:20	50592/50592	---M--	200	added ('OK')	application/font-woff2	etag:%225bc32abd-c5a0%22	https://colorlib.com/preview/theme/primelaw/fonts/ionicons/fonts/ionicons.woff2?v=4.0.0-19	C:/My%20Web%20Sites/prime%20law/colorlib.com/preview/theme/primelaw/fonts/ionicons/fonts/ionicons580c.woff2	(from https://colorlib.com/preview/theme/primelaw/css/ionicons.min.css)
10:36:20	112826/112826	---M--	200	added ('OK')	application/octet-stream	etag:%225bc32aac-1b8ba%22	https://colorlib.com/preview/theme/primelaw/fonts/ionicons/fonts/ionicons.eot?v=4.0.0-19	C:/My%20Web%20Sites/prime%20law/colorlib.com/preview/theme/primelaw/fonts/ionicons/fonts/ionicons580c.eot	(from https://colorlib.com/preview/theme/primelaw/css/ionicons.min.css)
10:36:21	66024/66024	---MCZ	200	added ('OK')	application/font-woff	etag:W/%225bc32abb-101e8%22	https://colorlib.com/preview/theme/primelaw/fonts/ionicons/fonts/ionicons.woff?v=4.0.0-19	C:/My%20Web%20Sites/prime%20law/colorlib.com/preview/theme/primelaw/fonts/ionicons/fonts/ionicons580c.woff	(from https://colorlib.com/preview/theme/primelaw/css/ionicons.min.css)
10:36:22	112648/112648	---MCZ	200	added ('OK')	application/x-font-ttf	etag:W/%225bc32ab6-1b808%22	https://colorlib.com/preview/theme/primelaw/fonts/ionicons/fonts/ionicons.ttf?v=4.0.0-19	C:/My%20Web%20Sites/prime%20law/colorlib.com/preview/theme/primelaw/fonts/ionicons/fonts/ionicons580c.ttf	(from https://colorlib.com/preview/theme/primelaw/css/ionicons.min.css)
10:36:22	4526/4526	---M--	200	added ('OK')	application/octet-stream	etag:%225bc32a93-11ae%22	https://colorlib.com/preview/theme/primelaw/fonts/flaticon/font/Flaticon.eot	C:/My%20Web%20Sites/prime%20law/colorlib.com/preview/theme/primelaw/fonts/flaticon/font/Flaticon.eot	(from https://colorlib.com/preview/theme/primelaw/css/flaticon.css)
10:36:22	4526/4526	---M--	200	added ('OK')	application/octet-stream	etag:%225bc32a93-11ae%22	https://colorlib.com/preview/theme/primelaw/fonts/flaticon/font/Flaticon.eot?	C:/My%20Web%20Sites/prime%20law/colorlib.com/preview/theme/primelaw/fonts/flaticon/font/Flaticond41d.eot	(from https://colorlib.com/preview/theme/primelaw/css/flaticon.css)
10:36:23	3128/3128	---MCZ	200	added ('OK')	application/font-woff	etag:W/%225bc32a97-c38%22	https://colorlib.com/preview/theme/primelaw/fonts/flaticon/font/Flaticon.woff	C:/My%20Web%20Sites/prime%20law/colorlib.com/preview/theme/primelaw/fonts/flaticon/font/Flaticon.woff	(from https://colorlib.com/preview/theme/primelaw/css/flaticon.css)
10:36:24	313199/313199	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225bc32abb-4c76f%22	https://colorlib.com/preview/theme/primelaw/fonts/ionicons/fonts/ionicons.svg?v=4.0.0-19	C:/My%20Web%20Sites/prime%20law/colorlib.com/preview/theme/primelaw/fonts/ionicons/fonts/ionicons580c.svg	(from https://colorlib.com/preview/theme/primelaw/css/ionicons.min.css)
10:36:24	4348/4348	---MCZ	200	added ('OK')	application/x-font-ttf	etag:W/%225bc32a96-10fc%22	https://colorlib.com/preview/theme/primelaw/fonts/flaticon/font/Flaticon.ttf	C:/My%20Web%20Sites/prime%20law/colorlib.com/preview/theme/primelaw/fonts/flaticon/font/Flaticon.ttf	(from https://colorlib.com/preview/theme/primelaw/css/flaticon.css)
10:36:24	22366/22366	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225bc32a96-575e%22	https://colorlib.com/preview/theme/primelaw/fonts/flaticon/font/Flaticon.svg	C:/My%20Web%20Sites/prime%20law/colorlib.com/preview/theme/primelaw/fonts/flaticon/font/Flaticon.svg	(from https://colorlib.com/preview/theme/primelaw/css/flaticon.css)
10:36:32	307332/307332	---M--	200	added ('OK')	application/octet-stream	etag:%225bc32a4f-4b084%22	https://colorlib.com/preview/theme/primelaw/fonts/icomoon/icomoon.eot?6tt51o	C:/My%20Web%20Sites/prime%20law/colorlib.com/preview/theme/primelaw/fonts/icomoon/icomoonccfb.eot	(from https://colorlib.com/preview/theme/primelaw/css/icomoon.css)
10:36:32	307244/307244	---MCZ	200	added ('OK')	application/font-woff	etag:W/%225bc32a62-4b02c%22	https://colorlib.com/preview/theme/primelaw/fonts/icomoon/icomoon.woff?6tt51o	C:/My%20Web%20Sites/prime%20law/colorlib.com/preview/theme/primelaw/fonts/icomoon/icomoonccfb.woff	(from https://colorlib.com/preview/theme/primelaw/css/icomoon.css)
10:36:32	307168/307168	---MCZ	200	added ('OK')	application/x-font-ttf	etag:W/%225bc32a60-4afe0%22	https://colorlib.com/preview/theme/primelaw/fonts/icomoon/icomoon.ttf?6tt51o	C:/My%20Web%20Sites/prime%20law/colorlib.com/preview/theme/primelaw/fonts/icomoon/icomoonccfb.ttf	(from https://colorlib.com/preview/theme/primelaw/css/icomoon.css)
10:36:32	935341/935341	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225bc32a56-e45ad%22	https://colorlib.com/preview/theme/primelaw/fonts/icomoon/icomoon.svg?6tt51o	C:/My%20Web%20Sites/prime%20law/colorlib.com/preview/theme/primelaw/fonts/icomoon/icomoonccfb.svg	(from https://colorlib.com/preview/theme/primelaw/css/icomoon.css)
10:36:34	79884/79884	---M--	200	added ('OK')	image/jpeg	etag:%225bc329ee-1380c%22	https://colorlib.com/preview/theme/primelaw/images/practice-1.jpg	C:/My%20Web%20Sites/prime%20law/colorlib.com/preview/theme/primelaw/images/practice-1.jpg	(from https://colorlib.com/preview/theme/primelaw/practice.html)
10:36:35	107379/107379	---M--	200	added ('OK')	image/jpeg	etag:%225bc329e8-1a373%22	https://colorlib.com/preview/theme/primelaw/images/practice-2.jpg	C:/My%20Web%20Sites/prime%20law/colorlib.com/preview/theme/primelaw/images/practice-2.jpg	(from https://colorlib.com/preview/theme/primelaw/practice.html)
10:36:36	89691/89691	---M--	200	added ('OK')	image/jpeg	etag:%225bc329eb-15e5b%22	https://colorlib.com/preview/theme/primelaw/images/practice-3.jpg	C:/My%20Web%20Sites/prime%20law/colorlib.com/preview/theme/primelaw/images/practice-3.jpg	(from https://colorlib.com/preview/theme/primelaw/practice.html)
10:36:36	58757/58757	---M--	200	added ('OK')	image/jpeg	etag:%225bc329f0-e585%22	https://colorlib.com/preview/theme/primelaw/images/practice-4.jpg	C:/My%20Web%20Sites/prime%20law/colorlib.com/preview/theme/primelaw/images/practice-4.jpg	(from https://colorlib.com/preview/theme/primelaw/practice.html)
10:36:37	70260/70260	---M--	200	added ('OK')	image/jpeg	etag:%225bc329f1-11274%22	https://colorlib.com/preview/theme/primelaw/images/practice-5.jpg	C:/My%20Web%20Sites/prime%20law/colorlib.com/preview/theme/primelaw/images/practice-5.jpg	(from https://colorlib.com/preview/theme/primelaw/practice.html)
